2.0;15.0;19.0;-11.876530988470424;35.009299081485196;6.0;2.0;13.0;25.0;-3.9843818066507746;38.83106889667074;8.0;0.15647388719311847;0.18344795367862746;25.632573332516053
2.0;14.0;19.0;-12.091233780423732;35.464297611705625;7.0;2.0;13.0;28.0;-2.30034598128439;38.323012464524936;9.0;0.16339129957892543;0.195793047694517;32.71808119892933
2.0;16.0;21.0;-12.140957562972734;34.56992067443765;5.0;2.0;15.0;23.0;-5.565686534803274;39.37453749563407;7.0;0.1254881133879725;0.1635907946912847;10.830000577330733
2.0;17.0;22.0;-12.280660748434162;34.60001201594445;4.0;2.0;14.0;22.0;-5.608500809449878;39.39468647309242;6.0;0.12649699060964215;0.1556634625409194;10.042885939625284
2.0;18.0;22.0;-9.680232354939559;35.58507279560078;3.0;2.0;15.0;26.0;-2.537455451249437;38.08439350639393;3.0;0.12703999083537784;0.1453625400152213;8.41916241913553
2.0;18.0;22.0;-9.680232354939559;35.58507279560078;3.0;2.0;15.0;26.0;-2.537455451249437;38.08439350639393;3.0;0.12703999083537784;0.1453625400152213;8.41916241913553
2.0;17.0;21.0;-5.352949212789795;33.55805932517532;4.0;2.0;17.0;23.0;-4.428205711771231;38.54191256908859;4.0;0.1256592143779585;0.15085469012184674;9.30240066317249
2.0;18.0;21.0;-10.82491218245007;33.98622519812577;3.0;2.0;15.0;20.0;-7.158963771325192;39.76238037198165;4.0;0.12731575292108296;0.1453120936346118;8.455552282703911
2.0;16.0;23.0;-10.558306343809459;35.273683998282;7.0;2.0;14.0;24.0;-1.7404002622234558;38.014900031454815;5.0;0.12607198836591582;0.16614336376049385;11.129657092575444
2.0;16.0;21.0;-1.3049296162116353;31.078765018399277;2.0;2.0;19.0;22.0;-6.820738936465164;39.30016323864443;3.0;0.1479623067884746;0.16132098005444942;17.34892171270762
2.0;17.0;20.0;-3.4275252586297116;32.79033723561689;4.0;2.0;17.0;23.0;-4.235930911731545;38.44153591460076;2.0;0.12782939528643042;0.1438690905416027;8.141848223558743
2.0;17.0;28.0;-27.254764320438706;38.346299499356086;6.0;2.0;10.0;19.0;-6.761506363987907;40.52362077190133;10.0;0.1471241457238825;0.1807532577759282;18.403776641378624
2.0;16.0;18.0;3.0342866771013495;31.926424573670765;5.0;2.0;20.0;27.0;-0.7232898199146459;37.014374070230275;3.0;0.14896327211684682;0.16812884219374102;19.063294513159242
2.0;18.0;23.0;-11.962782750710321;36.24188481703136;3.0;2.0;14.0;26.0;-2.8631401640853458;38.27648675674362;3.0;0.12762893326144228;0.14569611967462026;8.496702874316014
2.0;17.0;21.0;-7.621160813544617;33.50907770801046;4.0;2.0;16.0;22.0;-6.139773051304614;39.26852851438026;4.0;0.12595902981727286;0.14943400664393974;9.109551878107455
2.0;15.0;19.0;-7.921094835763931;34.087297870405344;6.0;2.0;15.0;27.0;-2.718564069217359;38.28811913111984;8.0;0.12605727521978255;0.17437090343825476;11.856203880255569
2.0;17.0;22.0;-10.465367066657656;33.6480742145664;4.0;2.0;16.0;19.0;-8.79620809351508;40.24059071099188;3.0;0.12694409453514077;0.14575523016148617;8.522186811174661
2.0;17.0;24.0;-14.562939204325328;34.66657115731583;4.0;2.0;15.0;20.0;-8.36990655260464;40.3594272587775;4.0;0.12615101897043587;0.14955863819383763;9.142166061358388
2.0;17.0;22.0;-10.101089763668277;33.88222120093825;3.0;2.0;16.0;21.0;-7.020427363375726;39.69219632966465;4.0;0.12679000565504908;0.14622986699724683;8.600934057171594
2.0;17.0;15.0;3.2654436392464667;33.38339843548663;4.0;2.0;17.0;29.0;0.057544287637513514;36.425625632724724;3.0;0.12728334717563325;0.14646521748319002;8.767409574821468
2.0;18.0;21.0;-8.58547463134855;32.75025499498453;3.0;2.0;16.0;17.0;-9.779421150032414;40.48935233956999;1.0;0.13246025489413107;0.1421684363937418;7.271332096368459
2.0;18.0;21.0;-8.58547463134855;32.75025499498453;3.0;2.0;16.0;17.0;-9.779421150032414;40.48935233956999;1.0;0.13246025489413107;0.1421684363937418;7.271332096368459
2.0;17.0;26.0;-19.167117420339974;35.81099065240581;4.0;2.0;13.0;20.0;-7.890898934881396;40.492956242819346;6.0;0.14529469908798628;0.1666376598261843;16.62799123069228
2.0;16.0;19.0;4.89008114064686;33.37102975604731;3.0;2.0;19.0;24.0;1.2242209067191219;35.95381852287712;7.0;0.15924293384000032;0.18779224086639337;30.1486326709545
2.0;18.0;22.0;-7.619983557596722;34.25560797646915;3.0;2.0;16.0;23.0;-4.059857592377577;38.546813099450674;3.0;0.12719766869085505;0.14483480750030692;8.320244328145723
2.0;17.0;22.0;-6.0157162889754145;33.22038499909517;4.0;2.0;16.0;22.0;-5.2453163233040705;38.90688835757819;2.0;0.1275045133310762;0.14418814935229543;8.19551935674854
2.0;17.0;21.0;-7.638674427035357;34.02712522101227;4.0;2.0;17.0;24.0;-5.007004923770921;38.87038210015013;4.0;0.12557604352091026;0.15155511500200847;9.392441417507813
2.0;17.0;20.0;-1.077433854416945;31.82163129850985;3.0;2.0;19.0;26.0;-5.951805137675477;38.9087782185939;4.0;0.14964965422176282;0.17026990708263992;19.664811345414698
2.0;18.0;23.0;-10.972244653688652;33.817734040326094;4.0;2.0;15.0;20.0;-6.986916309814661;39.78418905168785;5.0;0.12579219595659713;0.15276589774310162;9.602994588609828
2.0;17.0;22.0;-9.224891714401627;33.36503046558372;3.0;2.0;16.0;21.0;-6.815802897198173;39.64961993703564;4.0;0.12678794583314035;0.14621621676916652;8.60050441389608
