date/time,house/appartment,shop/restaurant,office,hospital
2021-01-01 00:00:00,0.003914168024256011,0.00830848702436323,0.008946303819577473,0.02872579754792147
2021-01-01 01:00:00,0.002819442934565167,0.008007444086440114,0.00787942281777576,0.021290425653151222
2021-01-01 02:00:00,0.0022570567151128256,0.007979128166536455,0.006881084450168016,0.01619895383028754
2021-01-01 03:00:00,0.0020592449994550565,0.00783158732072265,0.0063267831475559535,0.01440196377515918
2021-01-01 04:00:00,0.0019395563917532668,0.0077227945758296425,0.006238869768915869,0.01412850876677008
2021-01-01 05:00:00,0.001934047711064063,0.008390454160926455,0.006562212195439571,0.012965239842194234
2021-01-01 06:00:00,0.0020512323729980327,0.00950967815290794,0.0073802536339718896,0.02178524900166483
2021-01-01 07:00:00,0.0025034449786663,0.009709379903807436,0.007641013655361972,0.023339167938225103
2021-01-01 08:00:00,0.004433486376501852,0.009004462529363702,0.007334061858754217,0.02041363340403063
2021-01-01 09:00:00,0.006935929776861024,0.00856631092664392,0.008256407305842567,0.03774113171338428
2021-01-01 10:00:00,0.008722244687623715,0.008941869443260876,0.009837358064099013,0.05699149619283907
2021-01-01 11:00:00,0.010155002455970242,0.00984201763388247,0.010847616889827447,0.06422720252592838
2021-01-01 12:00:00,0.010351311804167318,0.009615490274653195,0.011592645522370541,0.06351969194866769
2021-01-01 13:00:00,0.008664653934963858,0.009004462529363703,0.011932378578810191,0.06499548088283108
2021-01-01 14:00:00,0.006816741958312798,0.00921161583813258,0.011097946510361929,0.06719614261701001
2021-01-01 15:00:00,0.0058392015305559234,0.009663180245017253,0.009855238751280047,0.06448763586725133
2021-01-01 16:00:00,0.0053434202685275906,0.010073015927833377,0.009296467276872725,0.06689230371879991
2021-01-01 17:00:00,0.006294919660299139,0.012020853154890373,0.011769962336915797,0.07691898735973351
2021-01-01 18:00:00,0.007832843150894098,0.013017871597813958,0.013701076552467498,0.08368591367844153
2021-01-01 19:00:00,0.008828411988179276,0.01359760280005204,0.014009518406340338,0.08674600543898618
2021-01-01 20:00:00,0.008018635926866333,0.012597603733980698,0.013295780976364056,0.08552196873476832
2021-01-01 21:00:00,0.006787696187406087,0.010685533984696748,0.011668638442889937,0.07460547117764796
2021-01-01 22:00:00,0.005747056326300152,0.009228009265445224,0.010448281542784349,0.050511046549586304
2021-01-01 23:00:00,0.004238679395765466,0.008545446564609644,0.009195143382846866,0.03250208099710426
2021-01-02 00:00:00,0.003357290485492874,0.009049171876580006,0.01104132433428865,0.031243319847376664
2021-01-02 01:00:00,0.0026476722548927243,0.00883307669836787,0.010931060096672275,0.020695769523797154
2021-01-02 02:00:00,0.0021083223365043254,0.008690006787275694,0.009668981593144273,0.014901127679361501
2021-01-02 03:00:00,0.001988132939648972,0.008575252796087179,0.009515505694840396,0.013842032091314835
2021-01-02 04:00:00,0.0019260350846070397,0.008543956253035766,0.009841828235894272,0.013572917638614452
2021-01-02 05:00:00,0.0020071629274844034,0.00911772620897834,0.010528744635099004,0.012361902601462731
2021-01-02 06:00:00,0.002659190405424696,0.011073014993904718,0.011923438235219675,0.0264600274784118
2021-01-02 07:00:00,0.004103967113456757,0.019615480935366608,0.017606516644258396,0.030457679267719095
2021-01-02 08:00:00,0.005994946957314318,0.028031270393048972,0.025271371215861746,0.032380545437820214
2021-01-02 09:00:00,0.007097684673462187,0.0316929659300643,0.02885197882386386,0.04966897874597543
2021-01-02 10:00:00,0.007405169213750467,0.03306107195488321,0.03037034717698668,0.06971366491646522
2021-01-02 11:00:00,0.007761731091088015,0.03295973076785959,0.03090676779241771,0.07654569957050396
2021-01-02 12:00:00,0.008343147298375788,0.032464947325332484,0.029389889496559973,0.07499178063394368
2021-01-02 13:00:00,0.008303084166090671,0.028815174280908178,0.02570050770820657,0.07859444185557783
2021-01-02 14:00:00,0.007684609561439163,0.01990013044597708,0.01925004980764846,0.07743117293100199
2021-01-02 15:00:00,0.00720134802824993,0.013621447785234067,0.014250907683284303,0.07862916630108756
2021-01-02 16:00:00,0.007247420630377815,0.012375547309473052,0.012459858850650703,0.08524417317069052
2021-01-02 17:00:00,0.009038743432676147,0.01345751351210762,0.01359528248664638,0.0963342929553595
2021-01-02 18:00:00,0.010487025664783153,0.013613996227364682,0.014447595242275678,0.10121307754947612
2021-01-02 19:00:00,0.010522581694686197,0.014052147830084466,0.014437164841420075,0.0981963913458186
2021-01-02 20:00:00,0.008611570284686077,0.013165412443627763,0.013951406173001979,0.09522745125473696
2021-01-02 21:00:00,0.006715081760139311,0.01106258281288758,0.0127191288147757,0.08221012474427813
2021-01-02 22:00:00,0.006134667131158667,0.009383001669128413,0.011467480712103302,0.054790834458660134
2021-01-02 23:00:00,0.005203700094683241,0.008725774265048739,0.010218812723961076,0.036890382798395974
2021-01-03 00:00:00,0.003914168024256011,0.00830848702436323,0.008946303819577473,0.02872579754792147
2021-01-03 01:00:00,0.002819442934565167,0.008007444086440114,0.00787942281777576,0.021290425653151222
2021-01-03 02:00:00,0.0022570567151128256,0.007979128166536455,0.006881084450168016,0.01619895383028754
2021-01-03 03:00:00,0.0020592449994550565,0.00783158732072265,0.0063267831475559535,0.01440196377515918
2021-01-03 04:00:00,0.0019395563917532668,0.0077227945758296425,0.006238869768915869,0.01412850876677008
2021-01-03 05:00:00,0.001934047711064063,0.008390454160926455,0.006562212195439571,0.012965239842194234
2021-01-03 06:00:00,0.0020512323729980327,0.00950967815290794,0.0073802536339718896,0.02178524900166483
2021-01-03 07:00:00,0.0025034449786663,0.009709379903807436,0.007641013655361972,0.023339167938225103
